Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 1,64.89,21,Women,14.0,14.6,15.0,14.9,15.0,6.1,5.8,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,DZIEMIAN Nessa - USA
GALYSHEVA Yulia - KAZ - World Cup 3 - 2019 - Qualification 1,74.59,5,Women,15.8,15.5,15.9,15.6,16.2,7.2,8.0,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,GALYSHEVA Yulia - KAZ
ANTHONY Jakara - AUS - World Cup 3 - 2019 - Final 2,74.89,4,Women,16.0,16.8,16.0,17.2,15.8,7.7,7.9,Finals,2019,2019-World Cup 3,Final 2,0.0,ANTHONY Jakara - AUS
GIACCIO Olivia - USA - World Cup 3 - 2019 - Qualification 1,75.52,3,Women,15.0,15.8,15.9,16.5,15.5,6.9,7.5,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,GIACCIO Olivia - USA
ANTHONY Jakara - AUS - World Cup 6 - 2019 - Final 2,79.87,2,Women,17.3,16.7,16.1,17.6,17.4,8.5,8.1,Finals,2019,2019-World Cup 6,Final 2,0.0,ANTHONY Jakara - AUS
HOSHINO Junko - JPN - World Cup 2 - 2019 - Qualification 1,71.86,8,Women,15.6,15.9,15.8,16.0,15.9,8.2,8.1,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,HOSHINO Junko - JPN
SEO Jung Hwa - KOR - World Cup 7 - 2019 - Qualification 1,69.13,15,Women,16.3,16.5,16.0,17.0,17.2,3.8,3.8,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,SEO Jung Hwa - KOR
GULLACHSEN Kristine - NOR - World Cup 1 - 2019 - Qualification 1,63.93,23,Women,15.3,14.5,14.2,12.8,15.1,6.3,5.8,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,GULLACHSEN Kristine - NOR
KAUF Jaelin - USA - World Championships - 2019 - Final 1,76.71,3,Women,17.2,16.9,16.8,17.0,17.0,7.2,7.0,Finals,2019,2019-World Championships,Final 1,0.0,KAUF Jaelin - USA
GERKEN SCHOFIELD Makayla - GBR - World Cup 2 - 2019 - Final 1,29.63,14,Women,14.0,14.5,15.0,14.8,13.5,4.4,4.0,Finals,2019,2019-World Cup 2,Final 1,0.0,GERKEN SCHOFIELD Makayla - GBR
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Qualification 1,74.71,3,Women,16.1,16.8,16.5,15.8,16.3,7.6,8.2,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,ANTHONY Jakara - AUS
BOUARD Lea - FRA - World Cup 1 - 2019 - Qualification 1,66.56,19,Women,16.2,15.5,14.8,15.2,15.6,5.9,6.0,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,BOUARD Lea - FRA
