Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
DARRAH Kane - USA - North American Cup 1 - 2019 - Qualification 1,67.32,15,Men,14.3,13.6,15.8,15.1,15.7,7.8,8.5,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,DARRAH Kane - USA
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 1,82.33,6,Men,17.8,17.9,17.8,17.8,17.3,8.5,8.4,Finals,2019,2019-North American Cup 2,Final 1,0.0,WENDLER Landon - USA
BELSKY Spencer - USA - North American Cup 2 - 2019 - Qualification 1,72.03,29,Men,16.6,16.9,17.8,16.8,16.7,7.5,7.3,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,BELSKY Spencer - USA
LESEUR John - BER - North American Cup 2 - 2019 - Qualification 1,63.93,48,Men,15.9,15.3,15.5,15.8,16.4,6.8,6.6,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,LESEUR John - BER
MATSUDA So - JPN - North American Cup 1 - 2019 - Final 2,77.85,4,Men,18.0,18.5,16.9,18.0,17.0,8.9,8.3,Finals,2019,2019-North American Cup 1,Final 2,0.0,MATSUDA So - JPN
MATSUDA So - JPN - North American Cup 2 - 2019 - Qualification 1,76.71,15,Men,16.8,17.9,17.0,18.3,18.3,7.0,6.4,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,MATSUDA So - JPN
KOSINSKI Henry - USA - North American Cup 1 - 2019 - Qualification 1,69.02,13,Men,15.3,15.6,14.7,15.3,16.6,7.2,8.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,KOSINSKI Henry - USA
SASAKI Taiga - JPN - North American Cup 2 - 2019 - Qualification 1,80.0,6,Men,18.4,17.9,17.8,18.3,18.2,8.4,7.8,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,SASAKI Taiga - JPN
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 2,82.07,4,Men,18.3,18.2,18.1,18.2,18.0,8.2,8.1,Finals,2019,2019-North American Cup 2,Final 2,0.0,WENDLER Landon - USA
KARIOTIS Jack - USA - North American Cup 2 - 2019 - Final 1,82.15,7,Men,17.8,17.8,17.2,17.0,17.3,8.1,8.4,Finals,2019,2019-North American Cup 2,Final 1,0.0,KARIOTIS Jack - USA
THIBAULT Olivier - CAN - North American Cup 1 - 2019 - Qualification 1,29.17,40,Men,15.0,14.2,14.2,15.6,14.2,6.5,7.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,THIBAULT Olivier - CAN
WARD Cole - USA - North American Cup 1 - 2019 - Qualification 1,63.84,25,Men,15.2,13.7,15.1,15.0,16.2,7.0,7.7,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,WARD Cole - USA
CORDELL Sam - CAN - North American Cup 1 - 2019 - Qualification 1,70.53,7,Men,16.6,16.1,16.4,16.1,17.2,7.0,8.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,CORDELL Sam - CAN
AGATSUMA Sora - JPN - North American Cup 1 - 2019 - Qualification 1,50.88,37,Men,15.0,15.2,15.6,15.9,13.8,7.4,6.7,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,AGATSUMA Sora - JPN
TOPALOVIC Ethan - AUS - North American Cup 2 - 2019 - Qualification 1,65.3,47,Men,15.2,15.2,15.6,15.9,16.0,8.0,7.9,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,TOPALOVIC Ethan - AUS
RETZER Mathew - CZE - North American Cup 1 - 2019 - Qualification 1,66.65,19,Men,14.8,15.1,15.6,15.5,15.9,6.5,6.7,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,RETZER Mathew - CZE
KURODA Brayden - CAN - North American Cup 2 - 2019 - Qualification 1,81.59,3,Men,17.7,17.5,17.3,18.1,18.0,8.6,8.3,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,KURODA Brayden - CAN
THIBAULT Olivier - CAN - North American Cup 2 - 2019 - Qualification 1,68.18,39,Men,16.4,15.7,16.0,16.7,15.9,5.9,5.2,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,THIBAULT Olivier - CAN
KARIOTIS Jack - USA - North American Cup 1 - 2019 - Final 1,79.19,5,Men,16.0,17.4,17.0,16.2,17.5,8.3,8.0,Finals,2019,2019-North American Cup 1,Final 1,0.0,KARIOTIS Jack - USA
