Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
LAHTELA Janne - FIN - Olympics - 2002 - Final 1,93.23,1,Men,4.8,4.8,4.8,4.7,4.6,7.02,7.18,Finals,2002,2002-Olympics,Final 1,2.0,LAHTELA Janne - FIN
MAYER Travis - USA - Olympics - 2002 - Final 1,91.97,2,Men,4.9,4.6,4.9,4.8,4.7,6.81,6.52,Finals,2002,2002-Olympics,Final 1,2.0,MAYER Travis - USA
GAY Richard - FRA - Olympics - 2002 - Final 1,89.7,3,Men,4.4,4.7,4.7,4.7,4.5,6.86,6.87,Finals,2002,2002-Olympics,Final 1,2.0,GAY Richard - FRA
MOSELEY Jonny - USA - Olympics - 2002 - Final 1,89.27,4,Men,4.8,4.7,4.8,4.7,4.7,6.66,6.45,Finals,2002,2002-Olympics,Final 1,2.0,MOSELEY Jonny - USA
LUUSUA Tapio - FIN - Olympics - 2002 - Final 1,88.9,5,Men,4.7,4.7,4.7,4.6,4.6,6.43,6.11,Finals,2002,2002-Olympics,Final 1,2.0,LUUSUA Tapio - FIN
BELLAVANCE Scott - CAN - Olympics - 2002 - Final 1,88.5,6,Men,4.6,4.6,4.6,4.5,4.5,6.25,6.66,Finals,2002,2002-Olympics,Final 1,2.0,BELLAVANCE Scott - CAN
JOHNSON Ryan - CAN - Olympics - 2002 - Final 1,88.5,7,Men,4.6,4.5,4.4,4.6,4.4,7.05,6.75,Finals,2002,2002-Olympics,Final 1,2.0,JOHNSON Ryan - CAN
RONKAINEN Mikko - FIN - Olympics - 2002 - Final 1,88.3,8,Men,4.7,4.7,4.6,4.5,4.6,6.73,6.26,Finals,2002,2002-Olympics,Final 1,2.0,RONKAINEN Mikko - FIN
BLOOM Jeremy - USA - Olympics - 2002 - Final 1,87.3,9,Men,4.6,4.5,4.7,4.7,4.5,5.83,6.29,Finals,2002,2002-Olympics,Final 1,2.0,BLOOM Jeremy - USA
MUSTONEN Sami - FIN - Olympics - 2002 - Final 1,86.93,10,Men,4.4,4.5,4.5,4.5,4.5,6.28,6.58,Finals,2002,2002-Olympics,Final 1,2.0,MUSTONEN Sami - FIN
REGNIER LAFFORGUE Cedric - FRA - Olympics - 2002 - Final 1,85.43,11,Men,4.6,4.4,4.6,4.5,4.5,6.07,6.67,Finals,2002,2002-Olympics,Final 1,2.0,REGNIER LAFFORGUE Cedric - FRA
NIOL Laurent - FRA - Olympics - 2002 - Final 1,83.33,12,Men,4.5,4.6,4.4,4.6,4.5,5.04,5.32,Finals,2002,2002-Olympics,Final 1,2.0,NIOL Laurent - FRA
FORTKORD Fredrik - SWE - Olympics - 2002 - Final 1,82.97,13,Men,4.4,4.5,4.6,4.5,4.4,5.05,5.66,Finals,2002,2002-Olympics,Final 1,2.0,FORTKORD Fredrik - SWE
GREGOIRE Johann - FRA - Olympics - 2002 - Final 1,75.9,14,Men,3.4,3.6,3.7,3.8,3.7,5.92,5.3,Finals,2002,2002-Olympics,Final 1,2.0,GREGOIRE Johann - FRA
ROCHON Stephane - CAN - Olympics - 2002 - Final 1,66.0,15,Men,3.5,3.5,3.2,2.8,3.2,3.45,3.45,Finals,2002,2002-Olympics,Final 1,2.0,ROCHON Stephane - CAN
TSUKITA Yugo - JPN - Olympics - 2002 - Final 1,52.7,16,Men,2.5,2.1,2.5,2.7,2.0,2.94,3.08,Finals,2002,2002-Olympics,Final 1,2.0,TSUKITA Yugo - JPN
GLUSHCHENKO Vitaly - RUS - Olympics - 2002 - Qualification 1,51.84,17,Men,4.5,4.3,4.3,4.3,4.2,5.15,5.92,Qualification,2002,2002-Olympics,Qualification 1,1.0,GLUSHCHENKO Vitaly - RUS
