Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
KINGSBURY Mikael - CAN - North American Cup 2 - 2010 - Final 1,83.1,1,Men,4.6,4.7,4.5,4.7,4.5,23.0,22.0,Finals,2010,2010-North American Cup 2,Final 1,,KINGSBURY Mikael - CAN
DIGRAVIO David - USA - North American Cup 2 - 2010 - Final 1,79.77,2,Men,4.5,4.6,4.2,4.4,4.3,20.0,20.0,Finals,2010,2010-North American Cup 2,Final 1,,DIGRAVIO David - USA
HENITIUK Mike - CAN - North American Cup 2 - 2010 - Final 1,79.4,3,Men,4.4,4.2,4.1,4.4,4.3,22.0,21.0,Finals,2010,2010-North American Cup 2,Final 1,,HENITIUK Mike - CAN
WILSON Bradley - USA - North American Cup 2 - 2010 - Final 1,78.17,4,Men,4.3,4.3,4.3,4.1,4.2,22.0,22.0,Finals,2010,2010-North American Cup 2,Final 1,,WILSON Bradley - USA
GAGNON Marc Antoine - CAN - North American Cup 2 - 2010 - Final 1,76.67,5,Men,4.1,3.7,4.4,4.2,4.1,22.0,23.0,Finals,2010,2010-North American Cup 2,Final 1,,GAGNON Marc Antoine - CAN
POULIOT CAVANAGH Simon - CAN - North American Cup 2 - 2010 - Final 1,75.27,6,Men,4.1,3.8,4.0,4.2,4.1,22.0,23.0,Finals,2010,2010-North American Cup 2,Final 1,,POULIOT CAVANAGH Simon - CAN
DISCOE Jimmy - USA - North American Cup 2 - 2010 - Final 1,75.07,7,Men,4.0,4.0,4.1,4.5,4.2,22.0,23.0,Finals,2010,2010-North American Cup 2,Final 1,,DISCOE Jimmy - USA
PANTHER Jay - USA - North American Cup 2 - 2010 - Final 1,74.63,8,Men,3.9,4.6,3.7,3.8,4.2,20.0,21.0,Finals,2010,2010-North American Cup 2,Final 1,,PANTHER Jay - USA
HANSCOM Nick - USA - North American Cup 2 - 2010 - Final 1,73.17,9,Men,3.7,4.1,3.9,4.1,4.3,20.0,19.0,Finals,2010,2010-North American Cup 2,Final 1,,HANSCOM Nick - USA
CHAPMAN DAVIES Rohan - AUS - North American Cup 2 - 2010 - Final 1,72.6,10,Men,3.9,4.3,4.2,4.0,4.0,20.0,22.0,Finals,2010,2010-North American Cup 2,Final 1,,CHAPMAN DAVIES Rohan - AUS
WINTER Robbie - CAN - North American Cup 2 - 2010 - Final 1,72.2,11,Men,3.8,3.9,4.0,3.9,4.2,18.0,19.0,Finals,2010,2010-North American Cup 2,Final 1,,WINTER Robbie - CAN
CRESCIMANNO Sterling - USA - North American Cup 2 - 2010 - Final 1,71.37,12,Men,4.0,4.0,4.1,4.2,4.0,14.0,16.0,Finals,2010,2010-North American Cup 2,Final 1,,CRESCIMANNO Sterling - USA
SNYDERMAN Reed - USA - North American Cup 2 - 2010 - Final 1,58.17,13,Men,3.2,3.4,2.8,2.6,2.5,8.0,6.0,Finals,2010,2010-North American Cup 2,Final 1,,SNYDERMAN Reed - USA
WATKINS Zak - USA - North American Cup 2 - 2010 - Final 1,55.7,14,Men,2.3,1.4,2.6,2.2,2.5,17.0,17.0,Finals,2010,2010-North American Cup 2,Final 1,,WATKINS Zak - USA
COTA Jeremy - USA - North American Cup 2 - 2010 - Final 1,52.1,15,Men,1.9,2.0,1.9,1.9,2.1,16.0,16.0,Finals,2010,2010-North American Cup 2,Final 1,,COTA Jeremy - USA
YOSHIKAWA Sora - JPN - North American Cup 2 - 2010 - Final 1,4.5,16,Men,0.1,0.1,0.1,0.1,0.1,10.0,10.0,Finals,2010,2010-North American Cup 2,Final 1,,YOSHIKAWA Sora - JPN
TANAKA Rikuya - JPN - North American Cup 2 - 2010 - Qualification 1,4.239999999999995,17,Men,4.2,4.0,3.9,3.8,4.0,21.0,22.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,TANAKA Rikuya - JPN
REILLY Ryan - USA - North American Cup 2 - 2010 - Qualification 1,4.140000000000001,18,Men,4.0,3.6,3.8,3.5,3.8,19.0,19.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,REILLY Ryan - USA
KEATING Nicholas - USA - North American Cup 2 - 2010 - Qualification 1,4.040000000000006,19,Men,3.6,3.6,3.7,3.7,4.0,20.0,17.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,KEATING Nicholas - USA
