Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
MARKLE Searik - CAN - Canada Cup 3 - 2018 - Final 1,74.92,1,Women,18.0,17.4,16.6,17.0,16.9,7.7,7.6,Finals,2018,2018-Canada Cup 3,Final 1,0.0,MARKLE Searik - CAN
SCHWINGHAMER Mackenzie - CAN - Canada Cup 3 - 2018 - Final 1,73.98,2,Women,16.6,17.1,16.5,16.6,17.2,7.9,8.0,Finals,2018,2018-Canada Cup 3,Final 1,0.0,SCHWINGHAMER Mackenzie - CAN
SCHWINGHAMMER Maia - CAN - Canada Cup 3 - 2018 - Final 1,73.92,3,Women,16.3,16.9,16.1,16.5,16.8,7.7,7.2,Finals,2018,2018-Canada Cup 3,Final 1,0.0,SCHWINGHAMMER Maia - CAN
TODD Kassidy - CAN - Canada Cup 3 - 2018 - Final 1,65.34,4,Women,15.0,15.8,15.5,15.8,16.2,7.3,7.6,Finals,2018,2018-Canada Cup 3,Final 1,0.0,TODD Kassidy - CAN
VAILLANCOURT Sandrine - CAN - Canada Cup 3 - 2018 - Final 1,64.37,5,Women,15.2,16.1,15.5,16.0,15.4,7.4,7.6,Finals,2018,2018-Canada Cup 3,Final 1,0.0,VAILLANCOURT Sandrine - CAN
KOBER Chloe - CAN - Canada Cup 3 - 2018 - Final 1,63.38,6,Women,15.0,15.6,15.3,15.0,15.3,6.6,6.3,Finals,2018,2018-Canada Cup 3,Final 1,0.0,KOBER Chloe - CAN
MILLETTE Ode - CAN - Canada Cup 3 - 2018 - Final 1,61.64,7,Women,15.1,15.1,15.2,15.1,15.9,6.4,6.5,Finals,2018,2018-Canada Cup 3,Final 1,0.0,MILLETTE Ode - CAN
LINTON Jessica - CAN - Canada Cup 3 - 2018 - Final 1,61.61,8,Women,14.3,14.7,15.7,14.4,14.5,6.3,6.2,Finals,2018,2018-Canada Cup 3,Final 1,0.0,LINTON Jessica - CAN
CHICK Alexa - CAN - Canada Cup 3 - 2018 - Final 1,59.42,9,Women,14.9,14.5,15.4,14.1,15.2,6.6,6.3,Finals,2018,2018-Canada Cup 3,Final 1,0.0,CHICK Alexa - CAN
PARKER Madison - CAN - Canada Cup 3 - 2018 - Final 1,59.11,10,Women,14.6,14.8,15.2,14.2,14.9,7.0,7.2,Finals,2018,2018-Canada Cup 3,Final 1,0.0,PARKER Madison - CAN
