Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 1,DZIEMIAN Nessa - USA,Women,26.0,USA,14.0,14.6,15.0,14.9,15.0,6.1,5.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,64.89,21
FJALLSTROM Ludvig - SWE - World Cup 5 - 2019 - Qualification 1,FJALLSTROM Ludvig - SWE,Men,27.0,SWE,15.0,15.5,16.1,16.4,15.8,7.4,7.0,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,70.56,23
GALYSHEVA Yulia - KAZ - World Cup 3 - 2019 - Qualification 1,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,15.8,15.5,15.9,15.6,16.2,7.2,8.0,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,74.59,5
PAVLENKO Aleksey - RUS - World Cup 1 - 2019 - Qualification 1,PAVLENKO Aleksey - RUS,Men,25.0,RUS,14.7,14.8,14.7,15.0,15.0,8.0,7.8,0,0,0,0,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,67.32,34
ANTHONY Jakara - AUS - World Cup 3 - 2019 - Final 2,ANTHONY Jakara - AUS,Women,22.0,AUS,16.0,16.8,16.0,17.2,15.8,7.7,7.9,1,1,1,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 2,74.89,4
GIACCIO Olivia - USA - World Cup 3 - 2019 - Qualification 1,GIACCIO Olivia - USA,Women,20.0,USA,15.0,15.8,15.9,16.5,15.5,6.9,7.5,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,75.52,3
ANTHONY Jakara - AUS - World Cup 6 - 2019 - Final 2,ANTHONY Jakara - AUS,Women,22.0,AUS,17.3,16.7,16.1,17.6,17.4,8.5,8.1,1,1,1,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,79.87,2
WILLIS Max - GBR - World Cup 5 - 2019 - Qualification 1,WILLIS Max - GBR,Men,27.0,GBR,13.0,11.2,14.0,13.8,10.1,5.2,5.6,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,29.76,52
ELOFSSON Felix - SWE - World Cup 2 - 2019 - Final 1,ELOFSSON Felix - SWE,Men,25.0,SWE,16.5,16.5,17.1,16.1,16.1,7.0,7.1,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,57.84,15
CHEVSKII Ilia - RUS - World Cup 3 - 2019 - Qualification 1,CHEVSKII Ilia - RUS,Men,22.0,RUS,16.0,14.5,13.9,14.2,14.4,7.0,8.2,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,67.27,34
HOSHINO Junko - JPN - World Cup 2 - 2019 - Qualification 1,HOSHINO Junko - JPN,Women,31.0,JPN,15.6,15.9,15.8,16.0,15.9,8.2,8.1,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,71.86,8
HORISHIMA Ikuma - JPN - World Cup 5 - 2019 - Final 2,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.1,17.2,18.0,17.8,18.1,9.1,9.9,1,1,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 2,85.02,2
ELOFSSON Oskar - SWE - World Cup 3 - 2019 - Qualification 1,ELOFSSON Oskar - SWE,Men,22.0,SWE,16.0,14.5,15.3,16.9,15.7,7.3,7.1,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,70.04,27
KINGSBURY Mikael - CAN - World Cup 1 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.1,18.3,18.1,18.2,18.2,9.5,9.7,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 2,88.14,1
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Qualification 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,15.9,16.0,16.9,16.0,17.5,7.8,7.8,1,1,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,76.93,14
HORISHIMA Ikuma - JPN - World Cup 6 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.1,17.4,17.9,17.9,18.2,9.2,9.0,1,1,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,84.03,1
SEO Jung Hwa - KOR - World Cup 7 - 2019 - Qualification 1,SEO Jung Hwa - KOR,Women,30.0,KOR,16.3,16.5,16.0,17.0,17.2,3.8,3.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Qualification 1,69.13,15
MARQUIS Philippe - CAN - World Cup 4 - 2019 - Final 1,MARQUIS Philippe - CAN,Men,31.0,CAN,16.8,16.8,16.7,16.9,16.7,9.5,8.6,1,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,77.64,8
GULLACHSEN Kristine - NOR - World Cup 1 - 2019 - Qualification 1,GULLACHSEN Kristine - NOR,Women,25.0,NOR,15.3,14.5,14.2,12.8,15.1,6.3,5.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,63.93,23
KAUF Jaelin - USA - World Championships - 2019 - Final 1,KAUF Jaelin - USA,Women,24.0,USA,17.2,16.9,16.8,17.0,17.0,7.2,7.0,1,0,0,0,-1.0,-9.0,0.0,2019,2019-World Championships,Final 1,76.71,3
