Athlete_Comp_ID,Score_Metric,Finish_Rank,mean,stddev,zscore,Score_Multiplier,Adjusted_score,Comp_factor,Season,Season_Comp,Round
TRAA Kari - NOR - Olympics - 2002 - Final 1,86.47,1,87.31145038167939,2.9430884546880636,0.3874745732001928,0.7749491464003856,67.00985268924134,0.84529229411117,2002,2002-Olympics,Final 1
BAHRKE Shannon - USA - Olympics - 2002 - Final 1,83.53,2,85.42320610687023,2.977848823229363,0.26246545285040124,0.5249309057008025,43.84747855318803,0.84529229411117,2002,2002-Olympics,Final 1
SATOYA Tae - JPN - Olympics - 2002 - Final 1,82.83,3,84.0767175572519,3.2358946856177666,0.3500158985331081,0.7000317970662162,57.983633750994684,0.84529229411117,2002,2002-Olympics,Final 1
HEIL Jennifer - CAN - Olympics - 2002 - Final 1,82.8,4,82.89274809160304,3.469604120549786,0.48933690194917545,0.9786738038983509,81.03419096278346,0.84529229411117,2002,2002-Olympics,Final 1
HARDAWAY Hannah - USA - Olympics - 2002 - Final 1,82.57,5,80.99320610687023,4.992386610832916,0.6239379087450474,1.2478758174900948,103.03710625015712,0.84529229411117,2002,2002-Olympics,Final 1
UEMURA Aiko - JPN - Olympics - 2002 - Final 1,82.2,6,76.65404580152672,11.469265586651087,0.685647082622462,1.371294165244924,112.72038038313275,0.84529229411117,2002,2002-Olympics,Final 1
BATTELLE Ann - USA - Olympics - 2002 - Final 1,82.07,7,75.75183206106868,11.474050563694092,0.7090626489386829,1.4181252978773657,116.3855431967954,0.84529229411117,2002,2002-Olympics,Final 1
LAOURA Sandra - FRA - Olympics - 2002 - Final 1,80.4,8,74.6448854961832,11.728168568194613,0.6881837584501598,1.3763675169003196,110.6599483587857,0.84529229411117,2002,2002-Olympics,Final 1
CHERKASOVA Marina - RUS - Olympics - 2002 - Final 1,78.4,9,73.21160305343511,12.15202290933482,0.665294847069972,1.330589694139944,104.31823202057161,0.84529229411117,2002,2002-Olympics,Final 1
MARBLER Margarita - AUT - Olympics - 2002 - Final 1,77.27,10,70.71961832061069,13.218052333377587,0.6898987255637228,1.3797974511274456,106.61694904861771,0.84529229411117,2002,2002-Olympics,Final 1
VORONA Elena - RUS - Olympics - 2002 - Final 1,77.23,11,67.62875968992249,14.336555488255623,0.7484765659777068,1.4969531319554137,115.6096903809166,0.84529229411117,2002,2002-Olympics,Final 1
KARHU Minna - FIN - Olympics - 2002 - Final 1,76.9,12,62.854461538461535,16.622690750506735,0.8009339122289125,1.601867824457825,123.18363570080676,0.84529229411117,2002,2002-Olympics,Final 1
RINGSTAD Kelly - CAN - Olympics - 2002 - Final 1,76.2,13,62.163538461538465,16.428677968326674,0.8035549150663294,1.6071098301326587,122.4617690561086,0.84529229411117,2002,2002-Olympics,Final 1
BRADLEY Tami - CAN - Olympics - 2002 - Final 1,61.53,14,57.873384615384616,18.230520248867794,0.5794851634263283,1.1589703268526566,71.31144421124395,0.84529229411117,2002,2002-Olympics,Final 1
BERNTSEN Ingrid - NOR - Olympics - 2002 - Qualification 1,61.13,15,52.95230769230769,21.11839306016883,0.650707326067713,1.301414652135426,79.5554776850386,0.84529229411117,2002,2002-Olympics,Qualification 1
VOGTLI Jillian Rachell - USA - Olympics - 2002 - Qualification 1,60.73,16,50.24062015503877,21.60962446186536,0.6863048018246407,1.3726096036492814,83.35858122962085,0.84529229411117,2002,2002-Olympics,Qualification 1
SUDOVA Nikola - CZE - Olympics - 2002 - Qualification 1,58.49,17,52.45734375,20.23550424394796,0.6171951112804509,1.2343902225609018,72.19948411758715,0.84529229411117,2002,2002-Olympics,Qualification 1
HATANAKA Miyuki - JPN - Olympics - 2002 - Qualification 1,58.06,18,52.045625,19.629915934852473,0.6203454617348413,1.2406909234696826,72.03451501664978,0.84529229411117,2002,2002-Olympics,Qualification 1
DESPAS Maria - AUS - Olympics - 2002 - Qualification 1,57.49,19,51.883828125,20.57346140666925,0.6073794039695984,1.2147588079391969,69.83648386842444,0.84529229411117,2002,2002-Olympics,Qualification 1
LAZARENKO Olga - RUS - Olympics - 2002 - Qualification 1,57.13,20,51.77173228346456,20.770367637630866,0.601787496119992,1.203574992239984,68.7602393066703,0.84529229411117,2002,2002-Olympics,Qualification 1
TRAA Kari - NOR - World Championships - 2003 - Final,93.3,1,87.31145038167939,2.9430884546880636,0.979063699631949,1.958127399263898,182.69328635132166,1.796016934034801,2003,2003-World Championships,Final
ROARK Michelle - USA - World Championships - 2003 - Final,90.43,2,85.42320610687023,2.977848823229363,0.9536521258464787,1.9073042516929575,172.47752348059416,1.796016934034801,2003,2003-World Championships,Final
ST.PIERRE Stephanie - CAN - World Championships - 2003 - Final,88.2,3,84.0767175572519,3.2358946856177666,0.8987094994588969,1.7974189989177938,158.53235570454942,1.796016934034801,2003,2003-World Championships,Final
BAHRKE Shannon - USA - World Championships - 2003 - Final,87.07,4,82.89274809160304,3.469604120549786,0.8856967746881803,1.7713935493763606,154.2352363441997,1.796016934034801,2003,2003-World Championships,Final
BERNTSEN Ingrid - NOR - World Championships - 2003 - Final,84.73,5,80.99320610687023,4.992386610832916,0.7729202354614975,1.545840470922995,130.97906310130537,1.796016934034801,2003,2003-World Championships,Final
KURYLOWICZ Elisa - CAN - World Championships - 2003 - Final,83.13,6,76.65404580152672,11.469265586651087,0.7138391338772655,1.427678267754531,118.68289439843416,1.796016934034801,2003,2003-World Championships,Final
SUDOVA Nikola - CZE - World Championships - 2003 - Final,81.9,7,75.75183206106868,11.474050563694092,0.7039628027927809,1.4079256055855618,115.30910709745751,1.796016934034801,2003,2003-World Championships,Final
RICHARDS Kristi - CAN - World Championships - 2003 - Final,79.0,8,74.6448854961832,11.728168568194613,0.6448070959856887,1.2896141919713775,101.87952116573882,1.796016934034801,2003,2003-World Championships,Final
BRADLEY Tami - CAN - World Championships - 2003 - Final,78.87,9,73.21160305343511,12.15202290933482,0.6792613054000297,1.3585226108000594,107.14667831380069,1.796016934034801,2003,2003-World Championships,Final
LAOURA Sandra - FRA - World Championships - 2003 - Final,76.2,10,70.71961832061069,13.218052333377587,0.6607875331191096,1.3215750662382193,100.70402004735232,1.796016934034801,2003,2003-World Championships,Final
SEXTON Jane - AUS - World Championships - 2003 - Final,75.93,11,67.62875968992249,14.336555488255623,0.7187142305696439,1.4374284611392878,109.14394305430613,1.796016934034801,2003,2003-World Championships,Final
