Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 1,WENDLER Landon - USA,Men,20.0,USA,17.8,17.9,17.8,17.8,17.3,8.5,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,82.33,6
MATSUDA So - JPN - North American Cup 1 - 2019 - Final 2,MATSUDA So - JPN,Men,21.0,JPN,18.0,18.5,16.9,18.0,17.0,8.9,8.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,77.85,4
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 2,WENDLER Landon - USA,Men,20.0,USA,18.3,18.2,18.1,18.2,18.0,8.2,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,82.07,4
KARIOTIS Jack - USA - North American Cup 2 - 2019 - Final 1,KARIOTIS Jack - USA,Men,23.0,USA,17.8,17.8,17.2,17.0,17.3,8.1,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,82.15,7
KARIOTIS Jack - USA - North American Cup 1 - 2019 - Final 1,KARIOTIS Jack - USA,Men,23.0,USA,16.0,17.4,17.0,16.2,17.5,8.3,8.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,79.19,5
WENDLER Landon - USA - North American Cup 1 - 2019 - Final 1,WENDLER Landon - USA,Men,20.0,USA,17.4,18.1,17.5,17.6,17.8,9.0,9.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,81.48,2
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 2,CHALIFOUX Louis David - CAN,Men,18.0,CAN,18.1,18.3,18.4,18.3,18.2,8.7,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,83.35,2
FENELEY William - GBR - North American Cup 1 - 2019 - Final 1,FENELEY William - GBR,Men,21.0,GBR,16.7,16.5,16.8,16.6,17.1,6.0,5.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,73.92,14
HEIMS Kalman - USA - North American Cup 1 - 2019 - Final 2,HEIMS Kalman - USA,Men,20.0,USA,17.4,18.2,16.1,17.8,17.6,9.4,8.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,81.25,2
MURPHY Tanner - USA - North American Cup 1 - 2019 - Final 1,MURPHY Tanner - USA,Men,20.0,USA,15.8,17.5,17.0,16.9,17.2,7.6,7.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,76.94,11
KURODA Brayden - CAN - North American Cup 1 - 2019 - Final 1,KURODA Brayden - CAN,Men,19.0,CAN,17.2,18.1,17.1,17.5,17.4,8.7,8.9,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,79.04,7
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 1,CHALIFOUX Louis David - CAN,Men,18.0,CAN,17.7,18.4,18.2,18.3,18.6,8.3,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,82.89,5
KARIOTIS Jack - USA - North American Cup 1 - 2019 - Final 2,KARIOTIS Jack - USA,Men,23.0,USA,16.6,18.0,16.7,17.5,17.6,8.7,9.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,82.84,1
WOODS TOPALOVIC Cooper - AUS - North American Cup 1 - 2019 - Final 1,WOODS TOPALOVIC Cooper - AUS,Men,20.0,AUS,17.4,17.3,16.6,16.5,17.2,9.0,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,78.66,8
PORTELLO Ryan - CAN - North American Cup 1 - 2019 - Final 1,PORTELLO Ryan - CAN,Men,23.0,CAN,17.0,17.1,16.2,16.1,17.0,8.0,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,73.8,15
BEAUREGARD Ian - USA - North American Cup 1 - 2019 - Final 2,BEAUREGARD Ian - USA,Men,21.0,USA,17.3,18.1,17.8,17.3,17.8,8.4,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,81.08,3
