Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
ITO Miki - JPN - Canadian Selections 2 - 2019 - Qualification 1,70.56,4,Women,0.0,17.1,16.8,17.7,16.9,16.3,4.2,5.2,1,1,JPN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,33.0
MYSKO Alex - CAN - Canada Cup 1 - 2019 - Qualification 1,66.93,18,Men,-22.0,15.4,15.8,15.8,15.5,15.5,7.8,8.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
DESAUTELS Mats - CAN - Canada Cup 1 - 2019 - Qualification 1,73.33,4,Men,-22.0,15.8,15.9,15.4,16.1,15.0,8.0,8.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
RICE Lewis - CAN - Canadian Selections 1 - 2019 - Qualification 2,51.74,21,Men,0.0,12.9,12.9,14.7,15.2,14.8,5.4,5.6,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,18.0
KOBER Jordan - CAN - Canadian Selections 1 - 2019 - Final 1,74.89,4,Men,0.0,17.7,17.7,18.6,17.8,17.4,5.6,5.4,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,24.0
KOEHLER Kaylee - CAN - Canadian Selections 1 - 2019 - Qualification 1,63.51,9,Women,0.0,13.7,14.8,16.6,14.6,15.0,5.1,6.7,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,17.0
MALHERBE Malica - CAN - Canada Cup 2 - 2019 - Final 1,32.44,9,Women,0.0,13.0,12.6,13.0,12.9,12.7,5.5,5.7,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Final 1,0.0,
RICE Lewis - CAN - Canada Cup 1 - 2019 - Qualification 1,62.86,28,Men,-22.0,15.2,15.9,15.8,14.9,16.4,8.0,7.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
MIYAMOTO Juri - JPN - Canadian Selections 1 - 2019 - Qualification 1,35.74,16,Women,0.0,12.4,12.0,13.6,13.0,14.0,6.3,6.4,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,19.0
CORDELL Sam - CAN - Canadian Selections 1 - 2019 - Final 1,68.96,9,Men,0.0,17.8,16.9,16.4,17.2,16.6,5.1,4.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,20.0
CHALIFOUX Louis David - CAN - Canadian Selections 1 - 2019 - Qualification 1,77.64,1,Men,0.0,18.8,18.4,18.0,17.7,18.2,7.3,7.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,18.0
BUTTERWORTH Cassidy - CAN - Canadian Selections 1 - 2019 - Qualification 1,44.69,14,Women,0.0,14.0,13.3,12.6,13.3,11.4,5.6,6.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,17.0
MIKKELSEN Maya - CAN - Canadian Selections 2 - 2019 - Qualification 1,53.72,12,Women,0.0,14.0,13.0,13.9,14.6,12.0,5.0,5.6,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,17.0
PARSONS Jackson - CAN - Canadian Selections 1 - 2019 - Qualification 2,49.89,22,Men,0.0,14.1,14.0,13.6,14.6,15.5,5.7,6.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,21.0
BEAULIEU Maëlle - CAN - Canada Cup 2 - 2019 - Qualification 1,41.38,15,Women,0.0,13.0,13.9,12.9,12.8,12.3,6.4,6.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
BELLUCCI Massimo - CAN - Canada Cup 2 - 2019 - Qualification 1,72.44,3,Men,0.0,18.0,17.1,17.4,17.2,17.4,7.9,7.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
DUBUC Jeremy - CAN - Canada Cup 1 - 2019 - Qualification 1,69.02,12,Men,-22.0,15.3,15.8,15.7,16.4,15.4,7.5,7.4,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
LE BRASSARD Noemie - CAN - Canada Cup 1 - 2019 - Qualification 2,49.78,14,Women,-22.0,13.8,13.0,13.1,13.1,12.4,4.8,4.6,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
KOEHLER Kaylee - CAN - Canada Cup 2 - 2019 - Qualification 1,74.04,1,Women,0.0,16.6,16.7,18.0,16.3,16.1,8.2,8.3,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
BURNYEAT Brian - CAN - Canada Cup 2 - 2019 - Qualification 1,20.68,32,Men,0.0,12.2,12.6,11.9,9.1,10.1,5.0,5.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
MIYAMOTO Juri - JPN - Canadian Selections 2 - 2019 - Qualification 1,60.32,9,Women,0.0,14.3,15.7,15.4,15.6,14.6,5.8,6.1,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,19.0
HURRY Kiera - CAN - Canada Cup 1 - 2019 - Qualification 1,44.13,20,Women,-22.0,12.3,12.2,12.3,13.4,14.2,3.8,4.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
TODD Kassidy - CAN - Canada Cup 1 - 2019 - Qualification 1,60.13,7,Women,-22.0,15.8,15.6,16.1,15.6,15.8,6.0,6.1,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
ALLARD Jesse - CAN - Canada Cup 1 - 2019 - Qualification 1,60.27,32,Men,-22.0,14.6,15.1,14.9,13.0,13.8,6.0,5.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
MATTHEWS Aidan - CAN - Canada Cup 1 - 2019 - Qualification 2,58.45,24,Men,-22.0,15.0,13.8,15.0,15.2,13.7,7.8,7.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
LEBLANC Gage - CAN - Canada Cup 2 - 2019 - Qualification 2,25.45,19,Men,0.0,10.2,10.4,9.4,9.6,9.6,4.0,3.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
LABELLE Cassandre - CAN - Canada Cup 1 - 2019 - Qualification 2,55.03,8,Women,-22.0,12.6,13.8,13.9,12.6,13.8,5.6,5.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
YANAGIMOTO Rino - JPN - Canadian Selections 1 - 2019 - Final 1,64.65,5,Women,0.0,17.7,16.7,16.3,16.7,17.2,5.4,5.8,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,20.0
TODD Kassidy - CAN - Canada Cup 1 - 2019 - Qualification 2,69.83,1,Women,-22.0,15.4,15.6,15.5,15.0,15.6,7.6,7.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
CONN Lynette - CAN - Canada Cup 2 - 2019 - Qualification 2,13.41,18,Women,0.0,11.1,11.0,10.3,13.2,11.9,6.7,6.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
